snapshot_id,agent_id,agent,version,published_at,captured_at,tap_client,client_exit_code,command,prompt_path,trace_path,meta_path,prompt_sha256,trace_sha256,meta_sha256,static_prompts,trace_parse_status
claude-code/1.0.0,claude-code,Claude Code,1.0.0,2025-05-22T16:57:18.061Z,2026-05-21T23:29:04.837324+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.0/prompt.md,captures/claude-code/1.0.0/trace.jsonl,captures/claude-code/1.0.0/meta.json,7281f5e732c13638008905a475132996dbe00844849c0cc5e74e9c62e7a3778c,ee9718ef0a6fd87b62e8fda856045a6aaad5795dec95b4c0d3dc3e7e71858848,815346c864ff6d14a5e1153f85c48a178607fe455eeef1baa4fc1b216f875e23,false,ok
claude-code/1.0.1,claude-code,Claude Code,1.0.1,2025-05-22T19:23:37.662Z,2026-05-21T23:29:17.524005+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.1/prompt.md,captures/claude-code/1.0.1/trace.jsonl,captures/claude-code/1.0.1/meta.json,7281f5e732c13638008905a475132996dbe00844849c0cc5e74e9c62e7a3778c,19d9d71325deccb2a609c54ec843a4706f223849d444279612274c5bcce06224,e0584290ec6b189daa513bc9dfa280c83180cb0286710015901eba04f3928a33,false,ok
claude-code/1.0.2,claude-code,Claude Code,1.0.2,2025-05-22T21:46:50.893Z,2026-05-21T23:29:30.992828+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.2/prompt.md,captures/claude-code/1.0.2/trace.jsonl,captures/claude-code/1.0.2/meta.json,7281f5e732c13638008905a475132996dbe00844849c0cc5e74e9c62e7a3778c,050c9395a9867bd22183ad6f46d87e32a7d125196f9db231f726e9eacb3c3e91,400d0901d247b982f11201e1fc324668637efdcdfebc660146de1aa7fbc39048,false,ok
claude-code/1.0.3,claude-code,Claude Code,1.0.3,2025-05-23T22:46:13.282Z,2026-05-21T23:29:43.506356+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.3/prompt.md,captures/claude-code/1.0.3/trace.jsonl,captures/claude-code/1.0.3/meta.json,c0e1027f28ebd1ab58f12610994600bd322fc0ebf7e237a5f964b266528baa66,46b271cf86592beb3f613c2e6089a56e7e56c65d74e7ce5719277c7d848777e4,5cc35123e42ef5124a363f061e80a3d7ff27084ecb4ff13b21874ade68e80253,false,ok
claude-code/1.0.4,claude-code,Claude Code,1.0.4,2025-05-28T17:42:44.392Z,2026-05-21T23:29:56.327744+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.4/prompt.md,captures/claude-code/1.0.4/trace.jsonl,captures/claude-code/1.0.4/meta.json,12dab0d904cd04c5a8db0a2e0c444f7955baa1ad3646ffd10da007c5f1d9b7ae,114ff92d3e25e31614fd8c25124998346e8bc011cd7c67ec8ba91175524546e4,822ac6851484bd2b8d1b46e35e197b144ee85d986d804e375b4b24a0229e420d,false,ok
claude-code/1.0.5,claude-code,Claude Code,1.0.5,2025-05-28T23:08:03.022Z,2026-05-21T23:30:09.004857+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.5/prompt.md,captures/claude-code/1.0.5/trace.jsonl,captures/claude-code/1.0.5/meta.json,a2d4b7f5bb969282a26ea112d8e785f736987504e4d1c3aafc2b91d3aff8a92c,4114400dde85a4a4b796ff81b11f8d9f68ed6e7acfbc828c1eb1778861d7745a,bc3e3e47a2fd6f88a7008f6eed226ba6c789113a10beb033b61bc3a5be6ee423,false,ok
claude-code/1.0.6,claude-code,Claude Code,1.0.6,2025-05-29T16:33:59.854Z,2026-05-21T23:30:21.819049+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.6/prompt.md,captures/claude-code/1.0.6/trace.jsonl,captures/claude-code/1.0.6/meta.json,697990c2cddea64ba8035f87e939b97c61b9347c08de27be87867a53a17c65f5,4ad45fbe0544c96c6ad4de0d1203393dca6f5ddf9c7dd9e4cbe7b573dc08e528,446942206d5e849f824e251b083a6103674f10b1ce0fc2bb5ce488f30c1812d3,false,ok
claude-code/1.0.7,claude-code,Claude Code,1.0.7,2025-05-30T16:29:49.709Z,2026-05-21T23:30:36.593811+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.7/prompt.md,captures/claude-code/1.0.7/trace.jsonl,captures/claude-code/1.0.7/meta.json,8534b86d9d748cdc4a3bef2df51713e5e4088e2ff938dc0b2858c5e8d671538d,9702667ff11710f33ec3ca4b74c342fffc7606f90b52c9ca5f77b065f4f2bf5a,dbd1cb46680a9f311e253112f74d24e5830341f5ffd2f362ff32740bfbdc8ea4,false,ok
claude-code/1.0.8,claude-code,Claude Code,1.0.8,2025-06-02T16:16:32.619Z,2026-05-21T23:30:50.285855+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.8/prompt.md,captures/claude-code/1.0.8/trace.jsonl,captures/claude-code/1.0.8/meta.json,2b5ee0cce48d350522bf0453663c5b69852af92cbddcd45262516ea30134914d,58d7b3addbccc1c36894d8fe8fae4b6e06a7151c4b2937873219e8d0cfa26b54,c9a5d054e931cb71d3c656a077b3ba7188d831e98248f4a2cc57cc02c4c904c0,false,ok
claude-code/1.0.9,claude-code,Claude Code,1.0.9,2025-06-02T20:37:14.617Z,2026-05-21T23:31:03.251030+00:00,claude,,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,captures/claude-code/1.0.9/prompt.md,captures/claude-code/1.0.9/trace.jsonl,captures/claude-code/1.0.9/meta.json,2b5ee0cce48d350522bf0453663c5b69852af92cbddcd45262516ea30134914d,10aa02a62045c221db8917e1ba0ff7efd0f1c75fc67b62560224a19bc021c274,f9bb352c49237630d9475f73563811d416868d15ea476480f58f4a88757eb678,false,ok
