agent_id,category,category_label,clause_count,share
claude-code,identity_mission,Identity/Mission,1417,0.0374
claude-code,interaction_output,Interaction/Output,3551,0.0936
claude-code,planning_lifecycle,Planning,4624,0.1219
claude-code,software_engineering_workflow,SE Workflow,5292,0.1396
claude-code,tool_capability,Tool Capability,1010,0.0266
claude-code,tool_use_policy,Tool-use Policy,1794,0.0473
claude-code,permissions_side_effects,Permissions,822,0.0217
claude-code,safety_security,Safety,2109,0.0556
claude-code,environment_sandbox,Environment,617,0.0163
claude-code,memory_context,Memory,4058,0.107
claude-code,extensibility,Extensibility,282,0.0074
claude-code,multi_agent,Multi-agent,146,0.0039
claude-code,reliability_verification,Reliability,667,0.0176
claude-code,runtime_capture_artifact,Runtime/Capture,6803,0.1794
claude-code,uncertain,Uncertain,4729,0.1247
codex,identity_mission,Identity/Mission,199,0.0208
codex,interaction_output,Interaction/Output,1711,0.1793
codex,planning_lifecycle,Planning,482,0.0505
codex,software_engineering_workflow,SE Workflow,1138,0.1192
codex,tool_capability,Tool Capability,27,0.0028
codex,tool_use_policy,Tool-use Policy,172,0.018
codex,permissions_side_effects,Permissions,314,0.0329
codex,environment_sandbox,Environment,214,0.0224
codex,memory_context,Memory,55,0.0058
codex,extensibility,Extensibility,453,0.0475
codex,reliability_verification,Reliability,352,0.0369
codex,runtime_capture_artifact,Runtime/Capture,2322,0.2433
codex,uncertain,Uncertain,2106,0.2206
antigravity,identity_mission,Identity/Mission,45,0.0175
antigravity,interaction_output,Interaction/Output,80,0.0312
antigravity,planning_lifecycle,Planning,64,0.025
antigravity,software_engineering_workflow,SE Workflow,139,0.0542
antigravity,tool_use_policy,Tool-use Policy,32,0.0125
antigravity,permissions_side_effects,Permissions,16,0.0062
antigravity,safety_security,Safety,16,0.0062
antigravity,environment_sandbox,Environment,43,0.0168
antigravity,memory_context,Memory,16,0.0062
antigravity,extensibility,Extensibility,109,0.0425
antigravity,multi_agent,Multi-agent,16,0.0062
antigravity,reliability_verification,Reliability,595,0.232
antigravity,runtime_capture_artifact,Runtime/Capture,643,0.2507
antigravity,uncertain,Uncertain,751,0.2928
kimi-code,identity_mission,Identity/Mission,58,0.0114
kimi-code,interaction_output,Interaction/Output,301,0.0593
kimi-code,planning_lifecycle,Planning,318,0.0626
kimi-code,software_engineering_workflow,SE Workflow,524,0.1032
kimi-code,tool_capability,Tool Capability,29,0.0057
kimi-code,tool_use_policy,Tool-use Policy,277,0.0546
kimi-code,permissions_side_effects,Permissions,215,0.0424
kimi-code,environment_sandbox,Environment,161,0.0317
kimi-code,memory_context,Memory,37,0.0073
kimi-code,extensibility,Extensibility,747,0.1472
kimi-code,multi_agent,Multi-agent,174,0.0343
kimi-code,reliability_verification,Reliability,318,0.0626
kimi-code,runtime_capture_artifact,Runtime/Capture,927,0.1826
kimi-code,uncertain,Uncertain,990,0.195
mimo,identity_mission,Identity/Mission,25,0.0378
mimo,interaction_output,Interaction/Output,40,0.0605
mimo,planning_lifecycle,Planning,65,0.0983
mimo,software_engineering_workflow,SE Workflow,30,0.0454
mimo,tool_capability,Tool Capability,11,0.0166
mimo,tool_use_policy,Tool-use Policy,10,0.0151
mimo,permissions_side_effects,Permissions,15,0.0227
mimo,safety_security,Safety,5,0.0076
mimo,environment_sandbox,Environment,1,0.0015
mimo,memory_context,Memory,160,0.2421
mimo,extensibility,Extensibility,17,0.0257
mimo,reliability_verification,Reliability,24,0.0363
mimo,runtime_capture_artifact,Runtime/Capture,174,0.2632
mimo,uncertain,Uncertain,84,0.1271
openclaw,identity_mission,Identity/Mission,1071,0.0555
openclaw,interaction_output,Interaction/Output,434,0.0225
openclaw,planning_lifecycle,Planning,136,0.0071
openclaw,software_engineering_workflow,SE Workflow,388,0.0201
openclaw,tool_capability,Tool Capability,4,0.0002
openclaw,tool_use_policy,Tool-use Policy,109,0.0057
openclaw,permissions_side_effects,Permissions,256,0.0133
openclaw,safety_security,Safety,85,0.0044
openclaw,environment_sandbox,Environment,4,0.0002
openclaw,memory_context,Memory,733,0.038
openclaw,extensibility,Extensibility,1163,0.0603
openclaw,multi_agent,Multi-agent,77,0.004
openclaw,reliability_verification,Reliability,54,0.0028
openclaw,runtime_capture_artifact,Runtime/Capture,12574,0.6519
openclaw,uncertain,Uncertain,2201,0.1141
hermes,identity_mission,Identity/Mission,47,0.0475
hermes,interaction_output,Interaction/Output,35,0.0354
hermes,planning_lifecycle,Planning,4,0.004
hermes,software_engineering_workflow,SE Workflow,24,0.0243
hermes,tool_use_policy,Tool-use Policy,29,0.0293
hermes,safety_security,Safety,3,0.003
hermes,memory_context,Memory,103,0.1041
hermes,extensibility,Extensibility,403,0.4075
hermes,reliability_verification,Reliability,25,0.0253
hermes,runtime_capture_artifact,Runtime/Capture,204,0.2063
hermes,uncertain,Uncertain,112,0.1132
kimi,interaction_output,Interaction/Output,66,0.0317
kimi,planning_lifecycle,Planning,26,0.0125
kimi,software_engineering_workflow,SE Workflow,70,0.0336
kimi,tool_capability,Tool Capability,12,0.0058
kimi,tool_use_policy,Tool-use Policy,38,0.0182
kimi,permissions_side_effects,Permissions,6,0.0029
kimi,environment_sandbox,Environment,20,0.0096
kimi,extensibility,Extensibility,316,0.1516
kimi,reliability_verification,Reliability,38,0.0182
kimi,runtime_capture_artifact,Runtime/Capture,1342,0.644
kimi,uncertain,Uncertain,150,0.072
opencode,identity_mission,Identity/Mission,174,0.0264
opencode,interaction_output,Interaction/Output,696,0.1054
opencode,planning_lifecycle,Planning,1131,0.1713
opencode,software_engineering_workflow,SE Workflow,174,0.0264
opencode,tool_capability,Tool Capability,87,0.0132
opencode,tool_use_policy,Tool-use Policy,174,0.0264
opencode,memory_context,Memory,783,0.1186
opencode,reliability_verification,Reliability,261,0.0395
opencode,runtime_capture_artifact,Runtime/Capture,1903,0.2883
opencode,uncertain,Uncertain,1218,0.1845
pi,interaction_output,Interaction/Output,30,0.0421
pi,planning_lifecycle,Planning,60,0.0842
pi,software_engineering_workflow,SE Workflow,90,0.1262
pi,permissions_side_effects,Permissions,30,0.0421
pi,environment_sandbox,Environment,23,0.0323
pi,extensibility,Extensibility,60,0.0842
pi,runtime_capture_artifact,Runtime/Capture,120,0.1683
pi,uncertain,Uncertain,300,0.4208
omp,identity_mission,Identity/Mission,57,0.0214
omp,interaction_output,Interaction/Output,133,0.0499
omp,planning_lifecycle,Planning,198,0.0742
omp,software_engineering_workflow,SE Workflow,246,0.0922
omp,tool_capability,Tool Capability,27,0.0101
omp,tool_use_policy,Tool-use Policy,107,0.0401
omp,permissions_side_effects,Permissions,63,0.0236
omp,safety_security,Safety,19,0.0071
omp,memory_context,Memory,9,0.0034
omp,extensibility,Extensibility,38,0.0142
omp,multi_agent,Multi-agent,69,0.0259
omp,reliability_verification,Reliability,448,0.168
omp,runtime_capture_artifact,Runtime/Capture,418,0.1567
omp,uncertain,Uncertain,835,0.3131
