agent_id,agent,latest_version,latest_published_at,snapshots,whole_prompt_epochs,instruction_epochs,tool_epochs,latest_prompt_chars,latest_instruction_chars,latest_tool_schema_chars,latest_runtime_chars,latest_tool_count,unique_tool_names,total_clauses,share_identity_mission,share_interaction_output,share_planning_lifecycle,share_software_engineering_workflow,share_tool_capability,share_tool_use_policy,share_permissions_side_effects,share_safety_security,share_environment_sandbox,share_memory_context,share_extensibility,share_multi_agent,share_reliability_verification,share_runtime_capture_artifact,share_uncertain
claude-code,Claude Code,2.1.210,2026-07-14T19:39:21.730Z,367,271,213,137,93804,1160,54,4737,27,48,37921,0.0374,0.0936,0.1219,0.1396,0.0266,0.0473,0.0217,0.0556,0.0163,0.107,0.0074,0.0039,0.0176,0.1794,0.1247
codex,Codex CLI,0.144.4,2026-07-14T05:10:51.485Z,68,32,12,20,60516,14660,8,6525,4,24,9545,0.0208,0.1793,0.0505,0.1192,0.0028,0.018,0.0329,0.0,0.0224,0.0058,0.0475,0.0,0.0369,0.2433,0.2206
antigravity,Antigravity CLI,1.1.2,2026-07-13T23:26:02Z,16,11,10,4,56057,13067,48,4236,24,26,2565,0.0175,0.0312,0.025,0.0542,0.0,0.0125,0.0062,0.0062,0.0168,0.0062,0.0425,0.0062,0.232,0.2507,0.2928
kimi-code,Kimi Code,0.24.1,2026-07-14T09:06:27.396Z,44,20,9,14,91392,13526,48,3736,24,24,5076,0.0114,0.0593,0.0626,0.1032,0.0057,0.0546,0.0424,0.0,0.0317,0.0073,0.1472,0.0343,0.0626,0.1826,0.195
mimo,MiMo Code,0.1.5,2026-07-07T10:07:26.006Z,5,5,5,3,126838,26267,32,3504,16,16,661,0.0378,0.0605,0.0983,0.0454,0.0166,0.0151,0.0227,0.0076,0.0015,0.2421,0.0257,0.0,0.0363,0.2632,0.1271
openclaw,OpenClaw,2026.7.1,2026-07-13T17:58:18.920Z,68,68,66,49,118397,14918,45544,15720,38,38,19289,0.0555,0.0225,0.0071,0.0201,0.0002,0.0057,0.0133,0.0044,0.0002,0.038,0.0603,0.004,0.0028,0.6519,0.1141
hermes,Hermes Agent,v2026.7.7.2,2026-07-08T03:11:22Z,19,18,10,5,65612,1824,58,4828,29,31,989,0.0475,0.0354,0.004,0.0243,0.0,0.0293,0.0,0.003,0.0,0.1041,0.4075,0.0,0.0253,0.2063,0.1132
kimi,Kimi CLI,1.48.0,2026-06-22T12:50:45Z,20,5,3,3,52057,4208,11579,10047,15,16,2084,0.0,0.0317,0.0125,0.0336,0.0058,0.0182,0.0029,0.0,0.0096,0.0,0.1516,0.0,0.0182,0.644,0.072
opencode,opencode,1.18.1,2026-07-14T21:35:08.652Z,87,31,2,3,32734,6203,20,2403,10,10,6601,0.0264,0.1054,0.1713,0.0264,0.0132,0.0264,0.0,0.0,0.0,0.1186,0.0,0.0,0.0395,0.2883,0.1845
pi,Pi,0.80.7,2026-07-14T16:41:45.925Z,30,7,5,3,5687,2449,1602,0,4,4,713,0.0,0.0421,0.0842,0.1262,0.0,0.0,0.0421,0.0,0.0323,0.0,0.0842,0.0,0.0,0.1683,0.4208
omp,Oh My Pi,16.5.2,2026-07-14T22:37:28.933Z,19,14,6,2,103456,12879,40,1835,20,20,2667,0.0214,0.0499,0.0742,0.0922,0.0101,0.0401,0.0236,0.0071,0.0,0.0034,0.0142,0.0259,0.168,0.1567,0.3131
