agent_id,agent,version,published_at,prompt_chars,instruction_chars,tool_prompt_chars,tool_schema_chars,runtime_chars,capture_artifact_chars,instruction_share,tool_prompt_share,tool_schema_share,runtime_share,capture_artifact_share,dominant_component,tool_count,tool_parameter_count,required_tool_parameter_count,must_density_per_1k,never_density_per_1k,confirmation_density_per_1k,verification_density_per_1k
claude-code,Claude Code,2.1.209,2026-07-14T04:45:37.792Z,93804,1160,86194,54,4737,237,0.0124,0.9189,0.0006,0.0505,0.0025,tool_prompt,27,0,0,0.0,18.9873,0.0,0.0
codex,Codex CLI,0.144.4,2026-07-14T05:10:51.485Z,60516,14660,38059,8,6525,468,0.2422,0.6289,0.0001,0.1078,0.0077,tool_prompt,4,0,0,5.3643,11.1757,0.8941,1.7881
antigravity,Antigravity CLI,1.1.2,2026-07-13T23:26:02Z,56057,13067,37502,48,4236,450,0.2331,0.669,0.0009,0.0756,0.008,tool_prompt,24,0,0,3.8976,2.784,0.5568,0.0
kimi-code,Kimi Code,0.24.1,2026-07-14T09:06:27.396Z,91392,13526,72219,48,3736,584,0.148,0.7902,0.0005,0.0409,0.0064,tool_prompt,24,0,0,3.3254,11.4014,2.8504,4.7506
mimo,MiMo Code,0.1.5,2026-07-07T10:07:26.006Z,126838,26267,95545,32,3504,32,0.2071,0.7533,0.0003,0.0276,0.0003,tool_prompt,16,0,0,5.8526,5.8526,0.0,4.5225
openclaw,OpenClaw,2026.7.1,2026-07-13T17:58:18.920Z,118397,14918,85243,45544,15720,57,0.126,0.72,0.3847,0.1328,0.0005,tool_prompt,38,435,34,1.5144,7.0671,1.0096,3.0288
hermes,Hermes Agent,v2026.7.7.2,2026-07-08T03:11:22Z,65612,1824,58273,58,4828,30,0.0278,0.8881,0.0009,0.0736,0.0005,tool_prompt,29,0,0,7.5472,7.5472,0.0,3.7736
kimi,Kimi CLI,1.48.0,2026-06-22T12:50:45Z,52057,4208,36990,11579,10047,30,0.0808,0.7106,0.2224,0.193,0.0006,tool_prompt,15,47,14,9.772,8.1433,0.0,6.5147
opencode,opencode,1.17.20,2026-07-13T21:07:14.162Z,32734,6203,23496,20,2403,32,0.1895,0.7178,0.0006,0.0734,0.001,tool_prompt,10,0,0,17.0293,4.7304,0.0,7.5686
pi,Pi,0.80.6,2026-07-09T23:21:59.601Z,5712,2474,3118,1602,0,30,0.4331,0.5459,0.2805,0.0,0.0053,tool_prompt,4,9,6,5.5096,5.5096,0.0,0.0
omp,Oh My Pi,16.5.0,2026-07-14T00:39:52.848Z,104238,12671,85396,40,1835,30,0.1216,0.8192,0.0004,0.0176,0.0003,tool_prompt,20,0,0,8.8988,18.9099,1.1123,10.0111
