agent_id,version,published_at,tool_name,normalized_tool_name,tool_category,tool_category_label,source,parameter_count,required_parameter_count,description_chars,schema_chars
claude-code,2.1.209,2026-07-14T04:45:37.792Z,Agent,agent,delegation_multi_agent,Delegation/multi-agent,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,Bash,bash,shell_process,Shell/process,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,CronCreate,croncreate,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,CronDelete,crondelete,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,CronList,cronlist,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,DesignSync,designsync,skills_extensibility,Skills/extensibility,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,Edit,edit,file_write_edit,File write/edit,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,EnterWorktree,enterworktree,other,Other,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,ExitWorktree,exitworktree,other,Other,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,Monitor,monitor,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,NotebookEdit,notebookedit,file_write_edit,File write/edit,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,PushNotification,pushnotification,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,Read,read,file_read,File read,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,ReportFindings,reportfindings,other,Other,prompt_text,0,0,0,2
claude-code,2.1.209,2026-07-14T04:45:37.792Z,ScheduleWakeup,schedulewakeup,scheduled_async,Scheduled/async,prompt_text,0,0,0,2
