agent_id,version,published_at,tool_count,trace_tool_count,prompt_text_tool_count,opaque_alias_count,parameter_count,required_parameter_count,avg_parameters_per_tool,category_count,dominant_tool_categories,representative_tools_by_category,tool_surface_note,count_shell_process,count_file_read,count_file_write_edit,count_search_discovery,count_web_browser,count_planning_task_state,count_delegation_multi_agent,count_memory_context_session,count_scheduled_async,count_skills_extensibility,count_media_multimodal,count_user_interaction,count_runtime_integration,count_opaque_alias,count_other
claude-code,2.1.209,2026-07-14T04:45:37.792Z,27,0,27,0,0,0,0.0,9,Delegation/multi-agent 7; Scheduled/async 6; Skills/extensibility 3; File write/edit 3; Other 3,"Shell/process: Bash; File read: Read; File write/edit: Edit, NotebookEdit, Write; Web/browser: WebFetch, WebSearch; Delegation/multi-agent: Agent, TaskCreate, TaskGet, TaskList; Memory/session: SendMessage; Scheduled/async: CronCreate, CronDelete, CronList, Monitor; Skills/extensibility: DesignSync, Skill, Workflow; Other: EnterWorktree, ExitWorktree, ReportFindings",broad OS-like surface; stateful orchestration; schema mostly unavailable in latest trace,1,1,3,0,2,0,7,1,6,3,0,0,0,0,3
codex,0.144.4,2026-07-14T05:10:51.485Z,4,0,4,0,0,0,0.0,3,User interaction 2; Shell/process 1; Other 1,"Shell/process: exec; User interaction: collaboration, request_user_input; Other: wait",minimal core surface; schema mostly unavailable in latest trace,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
antigravity,1.1.2,2026-07-13T23:26:02Z,24,12,12,12,0,0,0.0,8,Opaque trace alias 12; File write/edit 3; Search/discovery 2; Web/browser 2; Media/multimodal 1,"Shell/process: run_command; File read: view_file; File write/edit: multi_replace_file_content, replace_file_content, write_to_file; Search/discovery: grep_search, list_dir; Web/browser: read_url_content, search_web; Planning/task state: manage_task; Scheduled/async: schedule; Media/multimodal: generate_image; Opaque trace alias: tool_0, tool_1, tool_10, tool_11",web/media capable; contains opaque trace aliases; count may overestimate user-facing tools,1,1,3,2,2,1,0,0,1,0,1,0,0,12,0
kimi-code,0.24.1,2026-07-14T09:06:27.396Z,24,0,24,0,0,0,0.0,10,Planning/task state 7; Delegation/multi-agent 5; Scheduled/async 3; File write/edit 2; Search/discovery 2,"Shell/process: Bash; File read: Read; File write/edit: Edit, Write; Search/discovery: Glob, Grep; Web/browser: FetchURL; Planning/task state: CreateGoal, EnterPlanMode, ExitPlanMode, GetGoal; Delegation/multi-agent: Agent, AgentSwarm, TaskList, TaskOutput; Scheduled/async: CronCreate, CronDelete, CronList; Skills/extensibility: Skill; User interaction: AskUserQuestion",stateful orchestration; schema mostly unavailable in latest trace,1,1,2,2,1,7,5,0,3,1,0,1,0,0,0
mimo,0.1.5,2026-07-07T10:07:26.006Z,16,0,16,0,0,0,0.0,9,Shell/process 3; File write/edit 3; Search/discovery 2; Memory/session 2; Skills/extensibility 2,"Shell/process: actor, bash, change_directory; File read: read; File write/edit: edit, notebook_edit, write; Search/discovery: glob, grep; Web/browser: webfetch; Delegation/multi-agent: task; Memory/session: history, memory; Scheduled/async: cron; Skills/extensibility: skill, workflow",stateful orchestration; schema mostly unavailable in latest trace,3,1,3,2,1,0,1,2,1,2,0,0,0,0,0
openclaw,2026.7.1,2026-07-13T17:58:18.920Z,38,38,0,0,435,34,11.45,12,Memory/session 9; Media/multimodal 6; File write/edit 4; Web/browser 3; Planning/task state 3,"Shell/process: exec, process; File read: file_fetch, read; File write/edit: apply_patch, edit, file_write, write; Search/discovery: dir_fetch, dir_list; Web/browser: browser, web_fetch, web_search; Planning/task state: create_goal, get_goal, update_goal; Delegation/multi-agent: agents_list, subagents; Memory/session: memory_get, memory_search, message, session_status; Scheduled/async: cron; Skills/extensibility: skill_workshop; Media/multimodal: canvas, image, image_generate, pdf; Runtime/integration: gateway, node_inference, nodes",broad OS-like surface; stateful orchestration; web/media capable,2,2,4,2,3,3,2,9,1,1,6,0,3,0,0
hermes,v2026.7.7.2,2026-07-08T03:11:22Z,29,0,29,0,0,0,0.0,12,Web/browser 10; Shell/process 3; Media/multimodal 3; Skills/extensibility 3; Memory/session 2,"Shell/process: execute_code, process, terminal; File read: read_file; File write/edit: patch, write_file; Search/discovery: search_files; Web/browser: browser_back, browser_click, browser_console, browser_get_images; Planning/task state: todo; Delegation/multi-agent: delegate_task; Memory/session: memory, session_search; Scheduled/async: cronjob; Skills/extensibility: skill_manage, skill_view, skills_list; Media/multimodal: image_generate, text_to_speech, vision_analyze; User interaction: clarify",broad OS-like surface; stateful orchestration; web/media capable; schema mostly unavailable in latest trace,3,1,2,1,10,1,1,2,1,3,3,1,0,0,0
kimi,1.48.0,2026-06-22T12:50:45Z,15,15,0,0,47,14,3.13,8,Delegation/multi-agent 4; Planning/task state 3; Search/discovery 2; File write/edit 2; User interaction 1,"Shell/process: Shell; File read: ReadFile; File write/edit: StrReplaceFile, WriteFile; Search/discovery: Glob, Grep; Web/browser: FetchURL; Planning/task state: EnterPlanMode, ExitPlanMode, SetTodoList; Delegation/multi-agent: Agent, TaskList, TaskOutput, TaskStop; User interaction: AskUserQuestion",,1,1,2,2,1,3,4,0,0,0,0,1,0,0,0
opencode,1.17.20,2026-07-13T21:07:14.162Z,10,0,10,0,0,0,0.0,8,File write/edit 2; Search/discovery 2; Shell/process 1; File read 1; Skills/extensibility 1,"Shell/process: bash; File read: read; File write/edit: edit, write; Search/discovery: glob, grep; Web/browser: webfetch; Planning/task state: todowrite; Delegation/multi-agent: task; Skills/extensibility: skill",schema mostly unavailable in latest trace,1,1,2,2,1,1,1,0,0,1,0,0,0,0,0
pi,0.80.6,2026-07-09T23:21:59.601Z,4,4,0,0,9,6,2.25,3,File write/edit 2; Shell/process 1; File read 1,"Shell/process: bash; File read: read; File write/edit: edit, write",minimal core surface,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
