agent_id,previous_version,version,previous_published_at,published_at,days_between,prompt_delta_chars,abs_prompt_delta_chars,previous_prompt_chars,prompt_chars,instruction_delta_chars,tool_text_delta_chars,tool_schema_delta_chars,runtime_delta_chars,capture_artifact_delta_chars,tool_count_delta,previous_tool_count,tool_count,dominant_component_delta,same_capture_command,previous_trace_parse_status,trace_parse_status,interpretation,section_delta_summary,evidence_paths
claude-code,2.1.68,2.1.69,2026-03-04T09:20:53.882Z,2026-03-04T21:46:46.306Z,0,-60827,60827,80485,19658,788,-60606,-14716,0,0,-17,18,1,tool_text,true,ok,ok,deferred-tool discovery: initial prompt exposes ToolSearch and defers most tool schemas,removed/shrunk: -8141 Agent; -5907 AskUserQuestion; -4307 Committing changes with git | added/expanded: +3649 ToolSearch; +526 User Message; +262 Explicit user requests:,captures/claude-code/2.1.68/prompt.md; captures/claude-code/2.1.69/prompt.md
claude-code,2.1.69,2.1.70,2026-03-04T21:46:46.306Z,2026-03-06T00:09:06.874Z,1,60052,60052,19658,79710,-218,59260,14190,0,0,17,1,18,tool_text,true,ok,ok,eager tool-surface restored after deferred-tool snapshot,removed/shrunk: -3649 ToolSearch; -218 User Message | added/expanded: +6995 Agent; +5995 AskUserQuestion; +4307 Committing changes with git,captures/claude-code/2.1.69/prompt.md; captures/claude-code/2.1.70/prompt.md
mimo,0.1.4,0.1.5,2026-06-29T14:15:26.940Z,2026-07-07T10:07:26.006Z,7,38203,38203,88635,126838,15278,22730,2,0,0,1,15,16,tool_text,false,ok,ok,tool/capability surface expansion: more observed tools and longer tool guidance,added/expanded: +15278 Autonomous safety boundaries; +12366 Available Skills; +5744 Discipline,captures/mimo/0.1.4/prompt.md; captures/mimo/0.1.5/prompt.md
kimi,1.6,1.35.0,2026-02-02T17:26:55Z,2026-04-15T12:55:10Z,71,23026,23026,28295,51321,-893,17539,4962,5776,369,6,9,15,tool_text,true,ok,ok,coverage-gap mixed change over 71 days; avoid treating as a single-day redesign,removed/shrunk: -2946 Task | added/expanded: +5773 Agent; +2910 AskUserQuestion; +2851 Prompt and Tool Use,captures/kimi/1.6/prompt.md; captures/kimi/1.35.0/prompt.md
claude-code,2.1.153,2.1.154,2026-05-27T21:46:58.252Z,2026-05-28T15:40:50.400Z,0,-22291,22291,114487,92196,-21983,1009,2,-811,0,1,28,29,instruction,true,ok,ok,core instruction pruning or relocation out of initial prompt,removed/shrunk: -7195 Types of memory; -4210 Committing changes with git; -3968 Writing the prompt | added/expanded: +17659 Workflow; +2619 Resume; +2272 When to use,captures/claude-code/2.1.153/prompt.md; captures/claude-code/2.1.154/prompt.md
codex,0.143.0,0.144.0,2026-07-08T01:34:38.318Z,2026-07-09T16:50:26.998Z,1,18169,18169,42347,60516,-3509,24348,-22,-2629,0,-11,15,4,tool_text,true,missing_body,missing_body,tool-surface reshaping: fewer observed tools but substantially longer tool guidance,removed/shrunk: -5636 Design instructions; -3210 How to use skills; -2359 Available skills | added/expanded: +16529 `image_gen__imagegen`; +5793 collaboration; +4880 How to use skills,captures/codex/0.143.0/prompt.md; captures/codex/0.144.0/prompt.md
openclaw,2026.5.2,2026.5.3,2026-05-03T00:24:51.497Z,2026-05-04T07:46:24.298Z,1,15933,15933,91638,107571,354,15335,6953,109,0,7,25,32,tool_text,true,ok,ok,tool/capability surface expansion: more observed tools and longer tool guidance,added/expanded: +7278 browser; +1656 file_write; +1447 dir_fetch,captures/openclaw/2026.5.2/prompt.md; captures/openclaw/2026.5.3/prompt.md
hermes,v2026.5.16,v2026.5.28,2026-05-16T09:59:15Z,2026-05-28T17:46:09Z,12,15421,15421,53390,68811,11061,4335,0,0,0,0,28,28,instruction,true,missing_body,missing_body,core instruction expansion,removed/shrunk: -699 System Prompt | added/expanded: +11760 Skills (mandatory); +2163 session_search; +962 cronjob,captures/hermes/v2026.5.16/prompt.md; captures/hermes/v2026.5.28/prompt.md
codex,0.114.0,0.115.0,2026-03-11T00:29:28.692Z,2026-03-16T19:38:16.363Z,5,14204,14204,23453,37657,2286,13536,5720,-2037,219,5,7,12,tool_text,true,ok,ok,tool/capability surface expansion: more observed tools and longer tool guidance,removed/shrunk: -2213 How to use skills; -625 Available skills; -264 Skills | added/expanded: +4811 Parallel delegation patterns; +2955 spawn_agent; +1999 How to use skills,captures/codex/0.114.0/prompt.md; captures/codex/0.115.0/prompt.md
opencode,1.15.1,1.15.2,2026-05-16T04:33:22.238Z,2026-05-16T12:51:28.082Z,0,-13637,13637,48995,35358,0,-13442,0,0,0,0,10,10,tool_text,true,ok,ok,"prompt pruning/compaction of Git/GitHub, Task, and TodoWrite guidance",removed/shrunk: -4111 Examples of When to Use the Todo List; -3756 Committing changes with git; -2178 Examples of When NOT to Use the Todo List | added/expanded: +1824 Git and GitHub; +1344 Examples; +497 When to use,captures/opencode/1.15.1/prompt.md; captures/opencode/1.15.2/prompt.md
