agent_left,agent_right,tool_family_jaccard,exact_normalized_tool_jaccard,shared_tool_families,shared_normalized_tools_sample
openclaw,hermes,0.8462,0.0308,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent; Memory/session; Scheduled/async; Skills/extensibility; Media/multimodal,image_generate; process
openclaw,omp,0.8333,0.0943,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent; Scheduled/async; Media/multimodal; Runtime/integration,browser; edit; read; web_search; write
kimi-code,hermes,0.8333,0.0,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent; Scheduled/async; Skills/extensibility; User interaction,
kimi-code,kimi,0.8,0.3448,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent; User interaction,agent; askuserquestion; enterplanmode; exitplanmode; fetchurl; glob; grep; tasklist; taskoutput; taskstop
kimi-code,opencode,0.8,0.2593,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent; Skills/extensibility,bash; edit; glob; grep; read; skill; write
claude-code,mimo,0.8,0.1944,Shell/process; File read; File write/edit; Web/browser; Delegation/multi-agent; Memory/session; Scheduled/async; Skills/extensibility,bash; edit; read; skill; webfetch; workflow; write
antigravity,omp,0.8,0.0323,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Scheduled/async; Media/multimodal,generate_image
kimi,opencode,0.7778,0.087,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Planning/task state; Delegation/multi-agent,glob; grep
mimo,openclaw,0.75,0.08,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Delegation/multi-agent; Memory/session; Scheduled/async; Skills/extensibility,cron; edit; read; write
mimo,hermes,0.75,0.0227,Shell/process; File read; File write/edit; Search/discovery; Web/browser; Delegation/multi-agent; Memory/session; Scheduled/async; Skills/extensibility,memory
