agent_id,snapshots,first_version,latest_version,first_published_at,latest_published_at,calendar_days,first_prompt_chars,latest_prompt_chars,prompt_delta_chars,prompt_delta_pct,instruction_delta_chars,tool_schema_delta_chars,runtime_delta_chars,tool_count_delta,prompt_chars_per_30_days,mean_nonzero_churn,max_churn,whole_prompt_epochs,instruction_epochs,tool_epochs
claude-code,367,1.0.0,2.1.210,2025-05-22T16:57:18.061Z,2026-07-14T19:39:21.730Z,418,53547,93804,40257,75.18,-9625,-7461,3126,12,2889.26,0.016375,0.806747,271,213,137
codex,68,0.80.0,0.144.4,2026-01-09T19:49:15.685Z,2026-07-14T05:10:51.485Z,185,20194,60516,40322,199.67,7298,-2502,-533,-3,6538.7,0.072424,0.760116,32,12,20
antigravity,16,1.0.4,1.1.2,2026-06-01T23:14:20Z,2026-07-13T23:26:02Z,42,46815,56057,9242,19.74,1847,26,181,13,6601.43,0.021738,0.075982,11,10,4
kimi-code,44,0.1.1,0.24.1,2026-05-22T08:25:26.945Z,2026-07-14T09:06:27.396Z,53,54807,91392,36585,66.75,2328,-12650,1399,9,20708.49,0.018774,0.105356,20,9,14
mimo,5,0.1.1,0.1.5,2026-06-15T04:48:22.631Z,2026-07-07T10:07:26.006Z,22,82983,126838,43855,52.85,15757,4,0,2,59802.27,0.03763,0.102,5,5,3
openclaw,68,2026.1.29,2026.7.1,2026-01-30T04:49:17.280Z,2026-07-13T17:58:18.920Z,164,53707,118397,64690,120.45,4405,30304,2937,15,11833.54,0.022623,0.126207,68,66,49
hermes,19,v2026.3.23,v2026.7.7.2,2026-03-24T05:34:23Z,2026-07-08T03:11:22Z,105,44113,65612,21499,48.74,-3690,-2,2594,-1,6142.57,0.036226,0.115347,18,10,5
kimi,20,1.0,1.48.0,2026-01-27T03:09:04Z,2026-06-22T12:50:45Z,146,28295,52057,23762,83.98,-508,4962,5776,6,4882.6,0.08201,0.311457,5,3,3
opencode,87,1.4.0,1.18.1,2026-04-08T00:33:25.615Z,2026-07-14T21:35:08.652Z,97,43744,32734,-11010,-25.17,-3,0,488,0,-3405.15,0.019781,0.195734,31,2,3
pi,30,0.74.0,0.80.7,2026-05-07T15:15:48.756Z,2026-07-14T16:41:45.925Z,68,5637,5687,50,0.89,117,-62,0,0,22.06,0.006444,0.019355,7,5,3
omp,19,16.3.3,16.5.2,2026-07-02T23:17:48.898Z,2026-07-14T22:37:28.933Z,11,91862,103456,11594,12.62,3514,2,-520,1,31620.0,0.007464,0.046276,14,6,2
